User Input,Chatbot Response,Timestamp
hello,"I'm fine, thank you",2025-01-04 20:11:21
hi,Hey,2025-01-04 20:49:57
how are yyou,I am a chatbot,2025-01-04 20:50:12
hi,"I'm fine, thank you",2025-01-04 20:55:31
who are you,I can answer questions and provide assistance,2025-01-05 11:22:32
who are you,I can answer questions and provide assistance,2025-01-05 11:27:22
who are you,I am a chatbot,2025-01-05 11:30:47
who are you,My purpose is to assist you,2025-01-05 11:34:50
hi,Hey,2025-01-05 11:40:02
how are you,My purpose is to assist you,2025-01-05 11:40:24
hi,Nothing much,2025-01-31 05:47:17
hii,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2025-01-31 05:54:20
